Season,CDPH
2000-2001,B (Yamagata)
2001-2002,A (H3)
2002-2003,A (H1)
2003-2004,A (H3)
2004-2005,B (Yamagata)
2005-2006,A (H3)
2006-2007,A (H1)
2007-2008,A (H3)
2008-2009,A (H1N1)pdm09
2009-2010,A (H1N1)pdm09
2010-2011,A (H1N1)pdm09
2011-2012,A (H3)
2012-2013,A (H3)
2013-2014,A (H1N1)pdm09
2014-2015,A (H3)
2015-2016,A (H1N1)pdm09
2016-2017,A (H3)
2017-2018,A (H3)
2018-2019,A (H1N1)pdm09
2019-2020,A (H1N1)pdm09
2020-2021,NA
2021-2022,A (H3)
2022-2023,A (H3)
2023-2024,A (H1N1)pdm09
