state,county,dof_pop_county
CA,Alameda,1685886
CA,Alpine,1117
CA,Amador,38531
CA,Butte,217769
CA,Calaveras,44289
CA,Colusa,22593
CA,Contra Costa,1160099
CA,Del Norte,27558
CA,El Dorado,193098
CA,Fresno,1032227
CA,Glenn,29348
CA,Humboldt,134098
CA,Imperial,191649
CA,Inyo,18453
CA,Kern,927251
CA,Kings,156444
CA,Lake,64871
CA,Lassen,30065
CA,Los Angeles,10257557
CA,Madera,160089
CA,Marin,260800
CA,Mariposa,17795
CA,Mendocino,88439
CA,Merced,287420
CA,Modoc,9475
CA,Mono,13961
CA,Monterey,448732
CA,Napa,139652
CA,Nevada,98710
CA,Orange,3228519
CA,Placer,400434
CA,Plumas,18997
CA,Riverside,2468145
CA,Sacramento,1567975
CA,San Benito,64022
CA,San Bernardino,2217398
CA,San Diego,3370418
CA,San Francisco,892280
CA,San Joaquin,782545
CA,San Luis Obispo,278862
CA,San Mateo,778001
CA,Santa Barbara,456373
CA,Santa Clara,1967585
CA,Santa Cruz,273999
CA,Shasta,177925
CA,Sierra,3115
CA,Siskiyou,43956
CA,Solano,444255
CA,Sonoma,496668
CA,Stanislaus,562303
CA,Sutter,105747
CA,Tehama,65885
CA,Trinity,13354
CA,Tulare,484423
CA,Tuolumne,52351
CA,Ventura,852747
CA,Yolo,223612
CA,Yuba,79290
