pop,density,location
331893745,93.940076244,us
5039877,99.509912915,al
732673,1.2830925496,ak
7276316,64.022113803,az
3025891,58.194678618,ar
39237836,251.75436223,ca
5812069,56.081421447,co
3605597,744.55699104,ct
1003384,514.93862029,de
670050,10961.845722,dc
21781128,405.98041819,fl
10799566,187.11258523,ga
1441553,224.45613791,hi
1900923,23.001022601,id
12671469,228.2588546,il
6805985,189.97357795,in
3193079,57.169008467,ia
2934582,35.893253619,ks
4509394,114.18646796,ky
4624047,107.01035949,la
1372247,44.488287401,me
6165129,634.8490376,md
6984723,895.36953013,ma
10050811,177.55193594,mi
5707390,71.677007309,mn
2949965,62.866946395,ms
6168187,89.723503599,mo
1104271,7.5868654853,mt
1963692,25.56296437,ne
3143991,28.618062094,nv
1388992,155.12950348,nh
9267130,1260.0290755,nj
2115877,17.441507027,nm
19835913,420.93596008,ny
10551162,216.99971703,nc
774948,11.231803902,nd
11780017,288.30981725,oh
3986639,58.117159393,ok
4246155,44.232678273,or
12964056,289.74978553,pa
1095610,1059.6989939,ri
5190705,172.65344876,sc
895376,11.810848986,sd
6975218,169.16790214,tn
29527941,113.01820138,tx
3337975,40.520795603,ut
645570,70.037811804,vt
8642274,218.89051189,va
7738692,116.44970943,wa
1782959,74.162762892,wv
5895908,108.84615502,wi
578803,5.9615893092,wy
