location,season,inpatient_beds
ak,2022-2023,1411.8983516483515
ak,2023-2024,1312.7941176470588
al,2022-2023,13304.326923076924
al,2023-2024,12738.009803921568
ar,2022-2023,7641.0467032967035
ar,2023-2024,7726.941176470588
as,2022-2023,150
as,2023-2024,150
az,2022-2023,14659.978021978022
az,2023-2024,14490.240196078432
ca,2022-2023,62078.34065934066
ca,2023-2024,62704.220588235294
co,2022-2023,10500.857142857143
co,2023-2024,10568.35294117647
ct,2022-2023,7518.728021978022
ct,2023-2024,7893.019607843137
dc,2022-2023,3231.1456043956046
dc,2023-2024,2979.2401960784314
de,2022-2023,2521.901098901099
de,2023-2024,2491.426470588235
fl,2022-2023,56061.68681318681
fl,2023-2024,56236.117647058825
ga,2022-2023,21006.00824175824
ga,2023-2024,21367.46568627451
hi,2022-2023,2523.186813186813
hi,2023-2024,2514.848039215686
ia,2022-2023,7029.956043956044
ia,2023-2024,7092.421568627451
id,2022-2023,2837.0906593406594
id,2023-2024,2857.642156862745
il,2022-2023,28582.126373626375
il,2023-2024,28210.33823529412
in,2022-2023,14972.997252747253
in,2023-2024,15040.372549019608
ks,2022-2023,8056.854395604396
ks,2023-2024,7919.235294117647
ky,2022-2023,11989.818681318682
ky,2023-2024,12114.617647058823
la,2022-2023,12444.642857142857
la,2023-2024,12244.53431372549
ma,2022-2023,16201.337912087913
ma,2023-2024,16294.848039215687
md,2022-2023,10198.217032967033
md,2023-2024,9948.401960784313
me,2022-2023,2839.0686813186812
me,2023-2024,2883.75
mi,2022-2023,21036.129120879123
mi,2023-2024,21480.151960784315
mn,2022-2023,9284.412087912087
mn,2023-2024,9393.073529411764
mo,2022-2023,14641.417582417582
mo,2023-2024,14495.421568627451
ms,2022-2023,7953.178571428572
ms,2023-2024,7701.671568627451
mt,2022-2023,2608.3241758241757
mt,2023-2024,2619.299019607843
nc,2022-2023,20677.42032967033
nc,2023-2024,20664.225490196077
nd,2022-2023,1982.010989010989
nd,2023-2024,1975.7745098039215
ne,2022-2023,4707.791208791209
ne,2023-2024,4858.303921568628
nh,2022-2023,2507.0247252747254
nh,2023-2024,2542.1127450980393
nj,2022-2023,22978.379120879123
nj,2023-2024,22275.18137254902
nm,2022-2023,3950.002747252747
nm,2023-2024,4221.901960784314
nv,2022-2023,7117.291208791209
nv,2023-2024,6934.112745098039
ny,2022-2023,44984.83516483517
ny,2023-2024,45605.72549019608
oh,2022-2023,26337.10989010989
oh,2023-2024,27808.049019607843
ok,2022-2023,9125.936813186812
ok,2023-2024,8553.882352941177
or,2022-2023,6656.626373626374
or,2023-2024,6647.578431372549
pa,2022-2023,31482.68131868132
pa,2023-2024,30759.470588235294
pr,2022-2023,7590.478021978022
pr,2023-2024,8131.318627450981
ri,2022-2023,2193.1236263736264
ri,2023-2024,2198.514705882353
sc,2022-2023,9991.381868131868
sc,2023-2024,9969.985294117647
sd,2022-2023,2178.337912087912
sd,2023-2024,2207.5637254901962
tn,2022-2023,18430.85714285714
tn,2023-2024,20646.980392156864
tx,2022-2023,54953.73626373626
tx,2023-2024,54211.00490196078
ut,2022-2023,5831.75
ut,2023-2024,5892.46568627451
va,2022-2023,16829.304945054944
va,2023-2024,16798.823529411766
vi,2022-2023,168
vi,2023-2024,165.80392156862746
vt,2022-2023,1184.2197802197802
vt,2023-2024,1181.0931372549019
wa,2022-2023,10807.494505494506
wa,2023-2024,11343.426470588236
wi,2022-2023,11533.065934065935
wi,2023-2024,11316.063725490196
wv,2022-2023,4920.7307692307695
wv,2023-2024,4937.563725490196
wy,2022-2023,1374.3351648351647
wy,2023-2024,1287.3333333333333
